OrderNumber,QuantityOrdered,ListPrice,PricePerUnit,Sales,OrderDate,Status,QuarterOfYear,Month,Year,ProductLine,Company,CITY,COUNTRY,DEALSIZE
10107,30,95,95.7,2871,24/02/03,Shipped,1,FEBRUARY,2003,Motorcycles,Land of Toys Inc.,NYC,USA,Small
10121,34,95,81.35,2765.9,7/5/2003,Shipped,2,MAY,2003,Motorcycles,Reims Collectables,Reims,France,Small
10134,41,95,94.74,3884.34,1/7/2003,Shipped,3,JULY,2003,Motorcycles,Lyon Souveniers,Paris,France,Medium
10145,45,95,83.26,3746.7,25/08/03,Shipped,3,AUGUST,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,Medium
10159,49,95,100,5205.27,10/10/2003,Shipped,4,OCTOBER,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,Medium
10168,36,95,96.66,3479.76,28/10/03,Shipped,4,OCTOBER,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,Medium
10180,29,95,86.13,2497.77,11/11/2003,Shipped,4,NOVEMBER,2003,Motorcycles,Daedalus Designs Imports,Lille,France,Small
10188,48,95,100,5512.32,18/11/03,Shipped,4,NOVEMBER,2003,Motorcycles,Herkku Gifts,Bergen,Norway,Medium
10201,22,95,98.57,2168.54,1/12/2003,Shipped,4,DECEMBER,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,Small
10211,41,95,100,4708.44,15/01/04,Shipped,1,JANUARY,2004,Motorcycles,Auto Canal Petit,Paris,France,Medium
10223,37,95,100,3965.66,20/02/04,Shipped,1,FEBRUARY,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,Medium
10237,23,95,100,2333.12,5/4/2004,Shipped,2,APRIL,2004,Motorcycles,Vitachrome Inc.,NYC,USA,Small
10251,28,95,100,3188.64,18/05/04,Shipped,2,MAY,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,Medium
10263,34,95,100,3676.76,28/06/04,Shipped,2,JUNE,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,Medium
10275,45,95,92.83,4177.35,23/07/04,Shipped,3,JULY,2004,Motorcycles,La Rochelle Gifts,Nantes,France,Medium
10285,36,95,100,4099.68,27/08/04,Shipped,3,AUGUST,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,Medium
10299,23,95,100,2597.39,30/09/04,Shipped,3,SETPEMBER,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,Small
10309,41,95,100,4394.38,15/10/04,Shipped,4,OCTOBER,2004,Motorcycles,Baane Mini Imports,Stavern,Norway,Medium
10318,46,95,94.74,4358.04,2/11/2004,Shipped,4,NOVEMBER,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,Medium
10329,42,95,100,4396.14,15/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Land of Toys Inc.,NYC,USA,Medium
10341,41,95,100,7737.93,24/11/04,Shipped,4,NOVEMBER,2004,Motorcycles,Salzburg Collectables,Salzburg,Austria,Large
10361,20,95,72.55,1451,17/12/04,Shipped,4,DECEMBER,2004,Motorcycles,Souveniers And Things Co.,Chatswood,Australia,Small
10375,21,95,34.91,733.11,3/2/2005,Shipped,1,FEBRUARY,2005,Motorcycles,La Rochelle Gifts,Nantes,France,Small
10388,42,95,76.36,3207.12,3/3/2005,Shipped,1,MARCH,2005,Motorcycles,FunGiftIdeas.com,New Bedford,USA,Medium
10403,24,95,100,2434.56,8/4/2005,Shipped,2,APRIL,2005,Motorcycles,"UK Collectables, Ltd.",Liverpool,UK,Small
10417,66,95,100,7516.08,13/05/05,Disputed,2,MAY,2005,Motorcycles,Euro Shopping Channel,Madrid,Spain,Large
10103,26,214,100,5404.62,29/01/03,Shipped,1,JANUARY,2003,Classic Cars,Baane Mini Imports,Stavern,Norway,Medium
10112,29,214,100,7209.11,24/03/03,Shipped,1,MARCH,2003,Classic Cars,"Volvo Model Replicas, Co",Lule,Sweden,Large
10126,38,214,100,7329.06,28/05/03,Shipped,2,MAY,2003,Classic Cars,"Corrida Auto Replicas, Ltd",Madrid,Spain,Large
10140,37,214,100,7374.1,24/07/03,Shipped,3,JULY,2003,Classic Cars,Technics Stores Inc.,Burlingame,USA,Large
10150,45,214,100,10993.5,19/09/03,Shipped,3,SETPEMBER,2003,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Singapore,Large
10163,21,214,100,4860.24,20/10/03,Shipped,4,OCTOBER,2003,Classic Cars,Classic Legends Inc.,NYC,USA,Medium
10174,34,214,100,8014.82,6/11/2003,Shipped,4,NOVEMBER,2003,Classic Cars,"Australian Gift Network, Co",South Brisbane,Australia,Large
10183,23,214,100,5372.57,13/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Classic Gift Ideas, Inc",Philadelphia,USA,Medium
10194,42,214,100,7290.36,25/11/03,Shipped,4,NOVEMBER,2003,Classic Cars,"Saveley & Henriot, Co.",Lyon,France,Large
10206,47,214,100,9064.89,5/12/2003,Shipped,4,DECEMBER,2003,Classic Cars,Canadian Gift Exchange Network,Vancouver,Canada,Large
10215,35,214,100,6075.3,29/01/04,Shipped,1,JANUARY,2004,Classic Cars,West Coast Collectables Co.,Burbank,USA,Medium
10228,29,214,100,6463.23,10/3/2004,Shipped,1,MARCH,2004,Classic Cars,Cambridge Collectables Co.,Cambridge,USA,Medium
10245,34,214,100,6120.34,4/5/2004,Shipped,2,MAY,2004,Classic Cars,Super Scale Inc.,New Haven,USA,Medium
10258,32,214,100,7680.64,15/06/04,Shipped,2,JUNE,2004,Classic Cars,"Tokyo Collectables, Ltd",Minato-ku,Japan,Large
10270,21,214,100,4905.39,19/07/04,Shipped,3,JULY,2004,Classic Cars,Souveniers And Things Co.,Chatswood,Australia,Medium
10280,34,214,100,8014.82,17/08/04,Shipped,3,AUGUST,2004,Classic Cars,Amica Models & Co.,Torino,Italy,Large
10291,37,214,100,7136.19,8/9/2004,Shipped,3,SETPEMBER,2004,Classic Cars,Scandinavian Gift Ideas,Boras,Sweden,Large
10304,47,214,100,10172.7,11/10/2004,Shipped,4,OCTOBER,2004,Classic Cars,Auto Assoc. & Cie.,Versailles,France,Large
10312,48,214,100,11623.7,21/10/04,Shipped,4,OCTOBER,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Large
10322,40,214,100,6000.4,4/11/2004,Shipped,4,NOVEMBER,2004,Classic Cars,Online Diecast Creations Co.,Nashua,USA,Medium
10333,26,214,100,3003,18/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,Mini Wheels Co.,San Francisco,USA,Medium
10347,30,214,100,3944.7,29/11/04,Shipped,4,NOVEMBER,2004,Classic Cars,"Australian Collectors, Co.",Melbourne,Australia,Medium
10357,32,214,100,5691.84,10/12/2004,Shipped,4,DECEMBER,2004,Classic Cars,Mini Gifts Distributors Ltd.,San Rafael,USA,Medium
10369,41,214,100,4514.92,20/01/05,Shipped,1,JANUARY,2005,Classic Cars,Collectables For Less Inc.,Brickhaven,USA,Medium
10381,36,214,100,8254.8,17/02/05,Shipped,1,FEBRUARY,2005,Classic Cars,Corporate Gift Ideas Co.,San Francisco,USA,Large
10391,24,214,100,2416.56,9/3/2005,Shipped,1,MARCH,2005,Classic Cars,"Anna's Decorations, Ltd",North Sydney,Australia,Small
10411,23,214,100,4140.23,1/5/2005,Shipped,2,MAY,2005,Classic Cars,Quebec Home Shopping Network,Montreal,Canada,Medium
10424,50,214,100,12001,31/05/05,In Process,2,MAY,2005,Classic Cars,Euro Shopping Channel,Madrid,Spain,Large
